# Nodes (id, x, y)
1,100,100
2,200,80
3,300,100
4,400,150
5,450,250
6,400,300
7,300,330
8,200,310
9,100,280
10,150,200
11,250,180
12,350,220
# Edges (from, to, weight)
1,2,5
1,9,8
1,10,6
1,11,7
2,1,4
2,3,6
2,10,9
2,11,8
3,2,5
3,4,7
3,11,10
3,12,9
4,3,6
4,5,8
4,12,7
5,4,7
5,6,5
5,12,9
6,5,6
6,7,4
6,12,8
7,6,5
7,8,6
7,9,7
7,12,10
8,7,5
8,9,4
8,10,8
8,11,9
9,1,7
9,7,6
9,8,5
9,10,6
10,1,5
10,2,8
10,8,7
10,9,6
10,11,4
11,1,6
11,2,7
11,3,9
11,8,8
11,10,5
11,12,6
12,3,8
12,4,7
12,5,9
12,6,6
12,7,10
12,11,5
12,1,7
